"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-09","0.00","83","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-10","0.00","85","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-11","0.00","88","66"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-12","0.00","88","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-13","0.00","88","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-14","0.00","88","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-15","0.00","90","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-16","0.00","88","63"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-17","0.00","86","61"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-18","0.00","88","63"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-19","0.00","87","62"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-20","0.00","87","61"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-21","0.00","89","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-22","0.00","84","66"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-23","0.00","88","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-24","0.00","89","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-25","0.00","90","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-26","0.00","86","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-27","0.00","84","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-28","0.00","82","61"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-29","0.00","85","60"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-30","0.00","89","63"
"ASN00014015","DARWIN AIRPORT, AS","2000-07-31","0.00","89","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-01","0.00","91","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-02","0.00","90","66"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-03","0.00","91","66"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-04","0.00","91","67"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-05","0.00","89","64"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-06","0.00","88","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-07","0.00","88","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-08","0.00","89","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-09","0.00","88","67"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-10","0.00","89","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-11","0.00","89","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-12","0.00","90","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-13","0.00","91","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-14","0.00","91","67"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-15","0.00","91","67"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-16","0.00","87","62"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-17","0.00","86","65"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-18","0.00","87","66"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-19","0.00","87","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-20","0.00","87","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-21","0.00","89","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-22","0.00","89","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-23","0.00","89","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-24","0.00","96","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-25","0.00","91","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-26","0.00","87","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-27","0.00","89","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-28","0.00","88","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-29","0.00","89","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-30","0.00","90","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-08-31","0.00","90","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-01","0.00","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-02","0.00","88","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-03","0.00","91","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-04","0.00","96","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-05","0.00","90","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-06","0.00","88","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-07","0.00","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-08","0.00","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-09","0.00","92","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-10","0.00","96","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-11","0.00","97","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-12","0.00","94","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-13","0.00","94","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-14","0.00","93","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-15","0.00","96","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-16","0.00","92","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-17","0.00","96","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-18","0.00","93","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-19","0.01","92","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-20","0.00","89","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-21","0.00","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-22","0.00","95","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-23","0.00","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-24","0.00","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-25","0.00","89","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-26","0.00","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-27","0.00","90","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-28","0.00","89","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-29","0.01","91","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-09-30","0.00","92","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-01","0.00","92","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-02","0.00","92","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-03","0.00","92","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-04","0.00","90","76"
